mal_id,title,score,genre_list,studios,episodes,source,season,year,type,rating
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.83,"['Comedy', 'Romance']",['I-move'],1,Visual novel,,2002,Movie,PG-13 - Teens 13 or older
217,Shin Angel,6.27,"['Comedy', 'Drama', 'Hentai']",['Arms'],5,Manga,,1994,OVA,Rx - Hentai
218,Kidou Senkan Nadesico,7.49,"['Action', 'Comedy', 'Romance', 'Sci-Fi']",['Xebec'],26,Original,Fall,1996,TV,PG-13 - Teens 13 or older
219,Kidou Senkan Nadesico: The Prince of Darkness,6.72,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",['Xebec'],1,Original,,1998,Movie,R - 17+ (violence & profanity)
220,Kuro no Danshou,5.66,"['Horror', 'Hentai']",['JOF'],4,Visual novel,,1999,OVA,Rx - Hentai
221,Mezzo Forte,6.62,"['Action', 'Comedy', 'Sci-Fi', 'Hentai']",['Arms'],2,Original,,2000,OVA,Rx - Hentai
222,Mezzo DSA,6.62,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi']",['Arms'],13,Original,Winter,2004,TV,R+ - Mild Nudity
223,Dragon Ball,7.98,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Toei Animation'],153,Manga,Winter,1986,TV,PG-13 - Teens 13 or older
225,Dragon Ball GT,6.51,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Toei Animation'],64,Manga,Winter,1996,TV,PG-13 - Teens 13 or older
226,Elfen Lied,7.46,"['Action', 'Drama', 'Horror', 'Romance', 'Suspense']",['Arms'],13,Manga,Summer,2004,TV,R+ - Mild Nudity
227,FLCL,8.04,"['Action', 'Avant Garde', 'Comedy', 'Sci-Fi', 'Suspense']","['Gainax', 'Production I.G']",6,Original,,2000,OVA,PG-13 - Teens 13 or older
228,Jigoku Shoujo,7.6,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",['Studio Deen'],26,Original,Fall,2005,TV,R - 17+ (violence & profanity)
229,Ninin ga Shinobuden,6.87,['Comedy'],['ufotable'],12,Manga,Summer,2004,TV,R - 17+ (violence & profanity)
230,Air Master,6.94,"['Action', 'Comedy']",['Toei Animation'],27,Manga,Spring,2003,TV,R - 17+ (violence & profanity)
231,Asagiri no Miko,6.1,"['Action', 'Comedy', 'Supernatural']","['Chaos Project', 'GANSIS']",26,Manga,Summer,2002,TV,PG - Children
232,Cardcaptor Sakura,8.18,"['Adventure', 'Comedy', 'Drama', 'Romance']",['Madhouse'],70,Manga,Spring,1998,TV,PG - Children
233,Daa! Daa! Daa!,7.63,"['Comedy', 'Sci-Fi']",['J.C.Staff'],78,Manga,Spring,2000,TV,G - All Ages
234,Dan Doh!!,6.63,"['Adventure', 'Sports']",['Tokyo Kids'],26,Manga,Spring,2004,TV,G - All Ages
235,Meitantei Conan,8.18,"['Adventure', 'Comedy', 'Mystery']",['TMS Entertainment'],0,Manga,Winter,1996,TV,PG-13 - Teens 13 or older
236,E's Otherwise,6.58,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Studio Pierrot'],26,Manga,Spring,2003,TV,PG-13 - Teens 13 or older
237,Koukyoushihen Eureka Seven,8.05,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",['Bones'],50,Original,Spring,2005,TV,PG-13 - Teens 13 or older
238,Rekka no Honoo,7.34,"['Action', 'Adventure']",['Studio Pierrot'],42,Manga,Summer,1997,TV,PG-13 - Teens 13 or older
239,Gankutsuou,8.11,"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural', 'Suspense']",['Gonzo'],24,Novel,Fall,2004,TV,R - 17+ (violence & profanity)
240,Genshiken,7.63,['Slice of Life'],['Palm Studio'],12,Manga,Fall,2004,TV,PG-13 - Teens 13 or older
241,Girls Bravo: First Season,6.35,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",['AIC Spirits'],11,Manga,Summer,2004,TV,R+ - Mild Nudity
242,Gokusen,7.42,"['Action', 'Comedy']",['Madhouse'],13,Manga,Winter,2004,TV,R - 17+ (violence & profanity)
243,Gravitation,6.9,"['Boys Love', 'Comedy']",['Studio Deen'],13,Manga,Fall,2000,TV,PG-13 - Teens 13 or older
244,Agatha Christie no Meitantei Poirot to Marple,6.88,['Mystery'],['OLM'],39,Novel,Summer,2004,TV,G - All Ages
245,Great Teacher Onizuka,8.68,['Comedy'],['Studio Pierrot'],43,Manga,Summer,1999,TV,R - 17+ (violence & profanity)
246,Groove Adventure Rave,7.2,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",['Studio Deen'],51,Manga,Fall,2001,TV,PG-13 - Teens 13 or older
247,Harukanaru Toki no Naka de: Hachiyou Shou,6.99,"['Fantasy', 'Romance']",['Yumeta Company'],26,Visual novel,Fall,2004,TV,PG-13 - Teens 13 or older
248,Ichigo 100%,6.61,"['Comedy', 'Romance', 'Ecchi']",['Madhouse'],12,Manga,Spring,2005,TV,PG-13 - Teens 13 or older
249,InuYasha,7.87,"['Action', 'Adventure', 'Fantasy', 'Romance']",['Sunrise'],167,Manga,Fall,2000,TV,PG-13 - Teens 13 or older
250,Konjiki no Gash Bell!!,7.55,"['Action', 'Adventure', 'Comedy', 'Supernatural']",['Toei Animation'],150,Manga,Spring,2003,TV,PG-13 - Teens 13 or older
251,Kyou kara Maou!,7.61,"['Adventure', 'Comedy', 'Fantasy']",['Studio Deen'],78,Light novel,Spring,2004,TV,PG-13 - Teens 13 or older
252,Madlax,7.01,"['Drama', 'Mystery', 'Supernatural']",['Bee Train'],26,Original,Spring,2004,TV,PG-13 - Teens 13 or older
253,Jungle wa Itsumo Hare nochi Guu,7.8,['Comedy'],['Shin-Ei Animation'],26,Manga,Spring,2001,TV,PG-13 - Teens 13 or older
254,Jungle wa Itsumo Hare nochi Guu Deluxe,7.78,['Comedy'],['Shin-Ei Animation'],6,Manga,,2002,OVA,PG-13 - Teens 13 or older
255,Jungle wa Itsumo Hare nochi Guu Final,7.6,"['Award Winning', 'Comedy', 'Slice of Life']",['Shin-Ei Animation'],7,Manga,,2003,OVA,PG-13 - Teens 13 or older
256,Hoshi no Koe,7.09,"['Action', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",['CoMix Wave Films'],1,Original,,2002,OVA,PG-13 - Teens 13 or older
257,Ikkitousen,6.37,"['Action', 'Ecchi']",['J.C.Staff'],13,Manga,Summer,2003,TV,R+ - Mild Nudity
258,Hitsuji no Uta,6.12,"['Drama', 'Horror']",['Madhouse'],4,Manga,,2003,OVA,R - 17+ (violence & profanity)
259,Happy☆Lesson,6.58,"['Comedy', 'Romance']","['Studio Kyuuma', 'Venet', 'Chaos Project']",5,Unknown,,2001,OVA,PG-13 - Teens 13 or older
260,Happy☆Lesson (TV),6.6,"['Comedy', 'Drama', 'Romance']",['Studio Hibari'],13,Manga,Spring,2002,TV,PG-13 - Teens 13 or older
261,Happy☆Lesson Advance,6.76,"['Comedy', 'Romance']",['Studio Hibari'],13,Manga,Summer,2003,TV,PG-13 - Teens 13 or older
262,Happy☆Lesson The Final,6.76,"['Comedy', 'Romance']",['Studio Ranmaru'],3,Manga,,2004,OVA,PG-13 - Teens 13 or older
263,Hajime no Ippo,8.78,['Sports'],['Madhouse'],75,Manga,Fall,2000,TV,PG-13 - Teens 13 or older
264,Hajime no Ippo: Champion Road,8.25,['Sports'],['Madhouse'],1,Manga,,2003,TV Special,PG-13 - Teens 13 or older
265,Hajime no Ippo: Mashiba vs. Kimura,8.25,['Sports'],['Madhouse'],1,Manga,,2003,OVA,PG-13 - Teens 13 or older
266,Gunparade March: Arata Naru Kougunka,6.69,"['Action', 'Drama', 'Romance', 'Sci-Fi']",['J.C.Staff'],12,Game,Winter,2003,TV,PG-13 - Teens 13 or older
267,Gungrave,7.81,"['Action', 'Drama', 'Sci-Fi']",['Madhouse'],26,Game,Fall,2003,TV,R - 17+ (violence & profanity)
268,Golden Boy,8.04,"['Adventure', 'Comedy', 'Ecchi']",['APPP'],6,Manga,,1995,OVA,R+ - Mild Nudity
269,Bleach,7.98,"['Action', 'Adventure', 'Supernatural']",['Studio Pierrot'],366,Manga,Fall,2004,TV,PG-13 - Teens 13 or older
270,Hellsing,7.5,"['Action', 'Horror', 'Supernatural']",['Gonzo'],13,Manga,Fall,2001,TV,R - 17+ (violence & profanity)
271,Gad Guard,6.63,"['Action', 'Adventure', 'Sci-Fi']",['Gonzo'],26,Original,Spring,2003,TV,PG-13 - Teens 13 or older
272,Noir,7.27,"['Action', 'Drama', 'Mystery']",['Bee Train'],26,Original,Spring,2001,TV,PG-13 - Teens 13 or older
273,Mahoutsukai ni Taisetsu na Koto,6.68,"['Fantasy', 'Slice of Life']","['J.C.Staff', 'Viewworks']",12,Manga,Winter,2003,TV,PG-13 - Teens 13 or older
